"","ID_W","ID_H","hhwgt","nfm","IDIND1","B1_4","B1_5","IDIND2","B2_4","B2_5","B2_9_1","IDIND3","B3_4","B3_5","B3_9_1","IDIND4","B4_4","B4_5","B4_9_1","IDIND5","B5_4","B5_5","B5_9_1","IDIND6","B6_4","B6_5","B6_9_1","IDIND7","B7_4","B7_5","B7_9_1","IDIND8","B8_4","B8_5","B8_9_1","IDIND9","B9_4","B9_5","B9_9_1","IDIND10","B10_4","B10_5","B10_9_1","IDIND11","B11_4","B11_5","B11_9_1","IDIND12","B12_4","B12_5","B12_9_1","IDIND13","B13_4","B13_5","B13_9_1","IDIND14","B14_4","B14_5","B14_9_1","IDIND15","B15_4","B15_5","B15_9_1","IDIND16","B16_4","B16_5","B16_9_1","IDIND17","B17_4","B17_5","B17_9_1","IDIND18","B18_4","B18_5","B18_9_1","IDIND19","B19_4","B19_5","B19_9_1","IDIND20","B20_4","B20_5","B20_9_1","IDIND21","B21_4","B21_5","B21_9_1","IDIND22","B22_4","B22_5","B22_9_1","IDIND23","B23_4","B23_5","B23_9_1","IDIND24","B24_4","B24_5","B24_9_1"
"1",20,10001,1.040902835,3,1,2,1973,NA,NA,NA,NA,11293,1,1995,4,24101,2,2003,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",20,10016,0.877582981,4,25032,2,1977,31341,1,1974,1,25033,2,1999,4,25034,1,2006,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",20,10020,0.95757817,2,26,2,1931,27,NA,NA,NA,11307,2,1953,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",20,10024,0.733245453,5,36,2,1954,37,1,1956,1,38,NA,NA,NA,39,2,1983,4,NA,NA,NA,NA,20015,1,1993,9,24102,NA,NA,NA,24103,2,2005,9,30118,NA,NA,NA,30119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",20,10028,0,3,16257,2,1968,16258,1,1971,1,16259,NA,NA,NA,16260,1,2000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",20,10037,0.877582981,4,25038,2,1960,NA,NA,NA,NA,31343,1,1985,4,25040,2,1986,10,25041,2,1991,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",20,10041,1.040902835,3,30124,2,1967,30125,1,1967,1,30126,2,1992,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",20,10048,0.877582981,4,40566,2,1978,40567,1,1971,1,40568,1,2000,4,40569,2,2005,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",20,10055,0.95757817,2,25042,2,1971,25043,1,1996,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",20,10056,0.877582981,4,25045,2,1966,25046,1,1964,1,25047,1,1990,4,25048,2,1995,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
